row_abs,keywords_llm,raw_response
15,"[""robot dynamics"", ""neural network"", ""modeling"", ""identification"", ""robotics""]","{""keywords"": [""robot dynamics"", ""neural network"", ""modeling"", ""identification"", ""robotics""]}"
16,"[""robot learning"", ""nonparametric statistics"", ""locally weighted learning"", ""real-time learning"", ""autonomous control""]","{""keywords"": [""robot learning"", ""nonparametric statistics"", ""locally weighted learning"", ""real-time learning"", ""autonomous control""]}"
17,"[""cerebellum"", ""neural network"", ""timing"", ""sequencing""]","{""keywords"": [""cerebellum"", ""neural network"", ""timing"", ""sequencing""]}"
18,"[""cerebellar control"", ""robot dynamics"", ""artificial models"", ""nervous system"", ""scalable approach""]","{""keywords"": [""cerebellar control"", ""robot dynamics"", ""artificial models"", ""nervous system"", ""scalable approach""]}"
19,"[""polymeric microlenses"", ""micromolding process"", ""optical data storage"", ""polymer microlens"", ""microcompression molding""]","{""keywords"": [""polymeric microlenses"", ""micromolding process"", ""optical data storage"", ""polymer microlens"", ""microcompression molding""]}"
20,"[""holographic storage"", ""photopolymer"", ""optical setup"", ""recording capacity"", ""angular multiplexing""]","{""keywords"": [""holographic storage"", ""photopolymer"", ""optical setup"", ""recording capacity"", ""angular multiplexing""]}"
21,"[""neural networks"", ""cohen-grossberg"", ""lyapunov functionals"", ""razumikhin technique"", ""asymptotic stability""]","{""keywords"": [""neural networks"", ""cohen-grossberg"", ""lyapunov functionals"", ""razumikhin technique"", ""asymptotic stability""]}"
22,"[""image enhancement"", ""adaptive optics"", ""blind deconvolution"", ""low earth orbit"", ""resolution loss""]","{""keywords"": [""image enhancement"", ""adaptive optics"", ""blind deconvolution"", ""low earth orbit"", ""resolution loss""]}"
23,"[""error-probability"", ""optical fiber"", ""data buses"", ""modulation schemes"", ""receiver sensitivity""]","{""keywords"": [""error-probability"", ""optical fiber"", ""data buses"", ""modulation schemes"", ""receiver sensitivity""]}"
24,"[""principal components analysis"", ""bad pixels"", ""temporal evolution"", ""statistical distance"", ""multinormal distribution""]","{""keywords"": [""principal components analysis"", ""bad pixels"", ""temporal evolution"", ""statistical distance"", ""multinormal distribution""]}"
25,"[""edge detection"", ""nonlinear operator"", ""edge candidates"", ""computational efficiency"", ""zero-crossing points""]","{""keywords"": [""edge detection"", ""nonlinear operator"", ""edge candidates"", ""computational efficiency"", ""zero-crossing points""]}"
26,"[""risk aversion"", ""progressive transmission"", ""tree structure"", ""spatial relationship"", ""quantization""]","{""keywords"": [""risk aversion"", ""progressive transmission"", ""tree structure"", ""spatial relationship"", ""quantization""]}"
27,"[""remote sensing"", ""watermarking"", ""copyright protection"", ""digital images"", ""unsupervised classification""]","{""keywords"": [""remote sensing"", ""watermarking"", ""copyright protection"", ""digital images"", ""unsupervised classification""]}"
28,"[""coastal zone management"", ""remote sensing"", ""environmental impacts"", ""mangrove deforestation"", ""erosion problems""]","{""keywords"": [""coastal zone management"", ""remote sensing"", ""environmental impacts"", ""mangrove deforestation"", ""erosion problems""]}"
29,"[""urban environments"", ""road structure"", ""satellite imagery"", ""object-based representation"", ""road network""]","{""keywords"": [""urban environments"", ""road structure"", ""satellite imagery"", ""object-based representation"", ""road network""]}"
30,"[""super-resolution"", ""readout"", ""reflective film"", ""super-resolution pits"", ""optimum thickness""]","{""keywords"": [""super-resolution"", ""readout"", ""reflective film"", ""super-resolution pits"", ""optimum thickness""]}"
31,"[""optical disk"", ""insulation layer"", ""birefringence distribution"", ""transcribability"", ""replication quality""]","{""keywords"": [""optical disk"", ""insulation layer"", ""birefringence distribution"", ""transcribability"", ""replication quality""]}"
32,"[""digital elevation model"", ""aster"", ""spot"", ""stereo images"", ""dem extraction""]","{""keywords"": [""digital elevation model"", ""aster"", ""spot"", ""stereo images"", ""dem extraction""]}"
33,"[""hyperspectral data"", ""compression algorithm"", ""noise statistics"", ""principal components analysis"", ""airborne spectrometer""]","{""keywords"": [""hyperspectral data"", ""compression algorithm"", ""noise statistics"", ""principal components analysis"", ""airborne spectrometer""]}"
34,"[""satellite image"", ""optimization"", ""capital cost"", ""sustainable business"", ""operations planning""]","{""keywords"": [""satellite image"", ""optimization"", ""capital cost"", ""sustainable business"", ""operations planning""]}"
35,"[""binary logic"", ""signed-digit addition"", ""parallel computing"", ""optical shadow-casting"", ""carry propagation""]","{""keywords"": [""binary logic"", ""signed-digit addition"", ""parallel computing"", ""optical shadow-casting"", ""carry propagation""]}"
36,"[""vibration control"", ""rotating system"", ""eddy current damper"", ""flexible shaft"", ""timoshenko beam""]","{""keywords"": [""vibration control"", ""rotating system"", ""eddy current damper"", ""flexible shaft"", ""timoshenko beam""]}"
37,"[""vibration control"", ""optimization criterion"", ""dynamic vibration absorbers"", ""h2 optimization"", ""damping""]","{""keywords"": [""vibration control"", ""optimization criterion"", ""dynamic vibration absorbers"", ""h2 optimization"", ""damping""]}"
38,"[""shape memory alloy"", ""nonlinear control"", ""manipulator"", ""variable structure control"", ""positioning accuracy""]","{""keywords"": [""shape memory alloy"", ""nonlinear control"", ""manipulator"", ""variable structure control"", ""positioning accuracy""]}"
39,"[""nonlinear systems"", ""stochastic averaging"", ""feedback control"", ""random excitations"", ""ito stochastic differential equation""]","{""keywords"": [""nonlinear systems"", ""stochastic averaging"", ""feedback control"", ""random excitations"", ""ito stochastic differential equation""]}"
40,"[""longitudinal vibrations"", ""wave control"", ""feedback control"", ""vibration energy"", ""standing waves""]","{""keywords"": [""longitudinal vibrations"", ""wave control"", ""feedback control"", ""vibration energy"", ""standing waves""]}"
41,"[""vibration absorber"", ""electrical transformer"", ""structural vibration"", ""adaptive design"", ""control system""]","{""keywords"": [""vibration absorber"", ""electrical transformer"", ""structural vibration"", ""adaptive design"", ""control system""]}"
42,"[""control"", ""robust"", ""frequency"", ""differentiation"", ""stability""]","{""keywords"": [""control"", ""robust"", ""frequency"", ""differentiation"", ""stability""]}"
43,"[""fractional differentiation"", ""vibration control"", ""viscoelastic behavior"", ""suspension design"", ""robust controller""]","{""keywords"": [""fractional differentiation"", ""vibration control"", ""viscoelastic behavior"", ""suspension design"", ""robust controller""]}"
44,"[""chaotic phenomena"", ""fractional-order dynamics"", ""trajectory control"", ""redundant manipulators"", ""kinematic control""]","{""keywords"": [""chaotic phenomena"", ""fractional-order dynamics"", ""trajectory control"", ""redundant manipulators"", ""kinematic control""]}"
45,"[""fractional motion control"", ""path tracking design"", ""actuators"", ""fractional differentiation"", ""xy cutting table""]","{""keywords"": [""fractional motion control"", ""path tracking design"", ""actuators"", ""fractional differentiation"", ""XY cutting table""]}"
46,"[""fractional-order controllers"", ""analogue circuits"", ""continued fraction expansions"", ""negative impedance converters"", ""digital controllers""]","{""keywords"": [""fractional-order controllers"", ""analogue circuits"", ""continued fraction expansions"", ""negative impedance converters"", ""digital controllers""]}"
47,"[""fractional order calculus"", ""model reference adaptive control"", ""parameter adjustment rule"", ""reference model"", ""adaptive control systems""]","{""keywords"": [""fractional order calculus"", ""model reference adaptive control"", ""parameter adjustment rule"", ""reference model"", ""adaptive control systems""]}"
48,"[""flexible spacecraft"", ""fractional-order controller"", ""attitude control"", ""differential equation"", ""phase stabilization""]","{""keywords"": [""flexible spacecraft"", ""fractional-order controller"", ""attitude control"", ""differential equation"", ""phase stabilization""]}"
49,"[""fractional-order systems"", ""control theory"", ""time-varying initialization"", ""stability properties"", ""vector space representation""]","{""keywords"": [""fractional-order systems"", ""control theory"", ""time-varying initialization"", ""stability properties"", ""vector space representation""]}"
50,"[""parallel languages"", ""distributed languages"", ""haskell"", ""computation language"", ""coordination language""]","{""keywords"": [""parallel languages"", ""distributed languages"", ""haskell"", ""computation language"", ""coordination language""]}"
51,"[""haskell"", ""html"", ""xml"", ""combinator"", ""programming""]","{""keywords"": [""haskell"", ""html"", ""xml"", ""combinator"", ""programming""]}"
52,"[""greenberger-horne-zeilinger paradox"", ""many qubits"", ""entangled state"", ""multipartite"", ""quantum mechanics""]","{""keywords"": [""greenberger-horne-zeilinger paradox"", ""many qubits"", ""entangled state"", ""multipartite"", ""quantum mechanics""]}"
53,"[""haskell"", ""compiler"", ""inlining"", ""performance"", ""optimization""]","{""keywords"": [""haskell"", ""compiler"", ""inlining"", ""performance"", ""optimization""]}"
54,"[""dependent types"", ""haskell programming"", ""type system"", ""data validity"", ""type constructors""]","{""keywords"": [""dependent types"", ""haskell programming"", ""type system"", ""data validity"", ""type constructors""]}"
55,"[""concurrent programming"", ""web server"", ""haskell language"", ""network applications"", ""performance optimization""]","{""keywords"": [""concurrent programming"", ""web server"", ""haskell language"", ""network applications"", ""performance optimization""]}"
56,"[""haskell"", ""semantics"", ""programming language"", ""type system"", ""polymorphism""]","{""keywords"": [""haskell"", ""semantics"", ""programming language"", ""type system"", ""polymorphism""]}"
57,"[""risk attitudes"", ""subconscious priming"", ""risk preferences"", ""affective primacy"", ""decision making""]","{""keywords"": [""risk attitudes"", ""subconscious priming"", ""risk preferences"", ""affective primacy"", ""decision making""]}"
58,"[""probability matching"", ""rational choice"", ""payoff probability"", ""response strategy"", ""choice anomaly""]","{""keywords"": [""probability matching"", ""rational choice"", ""payoff probability"", ""response strategy"", ""choice anomaly""]}"
59,"[""recency"", ""auditors"", ""going concern"", ""self-review"", ""judgments""]","{""keywords"": [""recency"", ""auditors"", ""going concern"", ""self-review"", ""judgments""]}"
60,"[""price discount"", ""semantic relatedness"", ""comparative price format"", ""preference reversal"", ""mental accounting""]","{""keywords"": [""price discount"", ""semantic relatedness"", ""comparative price format"", ""preference reversal"", ""mental accounting""]}"
61,"[""aesthetic preference"", ""physical size"", ""stimuli size"", ""attentional resources"", ""cognitive development""]","{""keywords"": [""aesthetic preference"", ""physical size"", ""stimuli size"", ""attentional resources"", ""cognitive development""]}"
62,"[""decision process"", ""motivation"", ""goal realization"", ""decision characteristics"", ""implementation intention""]","{""keywords"": [""decision process"", ""motivation"", ""goal realization"", ""decision characteristics"", ""implementation intention""]}"
63,"[""quantum zeno effect"", ""decoherence-free subspaces"", ""adiabatic theorem"", ""quantum system"", ""measurement apparatus""]","{""keywords"": [""quantum zeno effect"", ""decoherence-free subspaces"", ""adiabatic theorem"", ""quantum system"", ""measurement apparatus""]}"
64,"[""wheat variety"", ""mass spectrometry"", ""neural networks"", ""gaussian smoothing"", ""correlation coefficient""]","{""keywords"": [""wheat variety"", ""mass spectrometry"", ""neural networks"", ""gaussian smoothing"", ""correlation coefficient""]}"
65,"[""firmware"", ""boot sequence"", ""bios interface"", ""device drivers"", ""embedded systems""]","{""keywords"": [""firmware"", ""boot sequence"", ""bios interface"", ""device drivers"", ""embedded systems""]}"
66,"[""quantum teleportation"", ""noisy channels"", ""fidelity"", ""decoherence rates"", ""lindblad form""]","{""keywords"": [""quantum teleportation"", ""noisy channels"", ""fidelity"", ""decoherence rates"", ""lindblad form""]}"
67,"[""quantum states"", ""classical signals"", ""quantum cryptography"", ""data compression"", ""mixed states""]","{""keywords"": [""quantum states"", ""classical signals"", ""quantum cryptography"", ""data compression"", ""mixed states""]}"
68,"[""quantum state"", ""measurement device"", ""quantum state discrimination"", ""programmable measurement"", ""nonorthogonal states""]","{""keywords"": [""quantum state"", ""measurement device"", ""quantum state discrimination"", ""programmable measurement"", ""nonorthogonal states""]}"
69,"[""quantum"", ""variable-length"", ""source coding"", ""probability distribution"", ""exponent""]","{""keywords"": [""quantum"", ""variable-length"", ""source coding"", ""probability distribution"", ""exponent""]}"
70,"[""artificial intelligence"", ""genetic algorithm"", ""neural network"", ""ground-state geometry"", ""silicon clusters""]","{""keywords"": [""artificial intelligence"", ""genetic algorithm"", ""neural network"", ""ground-state geometry"", ""silicon clusters""]}"
71,"[""quantum information"", ""nuclear magnetic resonance"", ""spin system"", ""quantum algorithms"", ""computational task""]","{""keywords"": [""quantum information"", ""nuclear magnetic resonance"", ""spin system"", ""quantum algorithms"", ""computational task""]}"
72,"[""quantum phase gate"", ""photonic qubits"", ""beam splitters"", ""postselection"", ""quantum operation""]","{""keywords"": [""quantum phase gate"", ""photonic qubits"", ""beam splitters"", ""postselection"", ""quantum operation""]}"
73,"[""entangled spin squeezed states"", ""optical cavity"", ""cavity qed"", ""atom cavity coupling"", ""quantum entanglement""]","{""keywords"": [""entangled spin squeezed states"", ""optical cavity"", ""cavity QED"", ""atom cavity coupling"", ""quantum entanglement""]}"
74,"[""quantum networking"", ""single-photon source"", ""distributed networking"", ""quantum communication"", ""optical cavity""]","{""keywords"": [""quantum networking"", ""single-photon source"", ""distributed networking"", ""quantum communication"", ""optical cavity""]}"
75,"[""quantum dynamics"", ""hamiltonian evolution"", ""quantum systems"", ""universal computation"", ""qudits""]","{""keywords"": [""quantum dynamics"", ""hamiltonian evolution"", ""quantum systems"", ""universal computation"", ""qudits""]}"
76,"[""dense coding"", ""entangled qubits"", ""quantum information"", ""classical information"", ""efficient communication""]","{""keywords"": [""dense coding"", ""entangled qubits"", ""quantum information"", ""classical information"", ""efficient communication""]}"
77,"[""quantum search"", ""rydberg atom"", ""phase retrieval"", ""coherent control"", ""energy eigenstates""]","{""keywords"": [""quantum search"", ""rydberg atom"", ""phase retrieval"", ""coherent control"", ""energy eigenstates""]}"
78,"[""quantum retrodiction"", ""open systems"", ""quantum mechanics"", ""time asymmetry"", ""master equation""]","{""keywords"": [""quantum retrodiction"", ""open systems"", ""quantum mechanics"", ""time asymmetry"", ""master equation""]}"
79,"[""quantum system"", ""decoherence"", ""quantum information"", ""thermal bath"", ""qubit""]","{""keywords"": [""quantum system"", ""decoherence"", ""quantum information"", ""thermal bath"", ""qubit""]}"
80,"[""quantum computers"", ""decoherence"", ""error correction"", ""fault-tolerant methods"", ""qubits""]","{""keywords"": [""quantum computers"", ""decoherence"", ""error correction"", ""fault-tolerant methods"", ""qubits""]}"
81,"[""quantum states"", ""entanglement swapping"", ""vacuum-one-photon"", ""quantum mechanical"", ""retrodiction effect""]","{""keywords"": [""quantum states"", ""entanglement swapping"", ""vacuum-one-photon"", ""quantum mechanical"", ""retrodiction effect""]}"
82,"[""quantum learning"", ""pattern matching"", ""machine learning"", ""quantum systems"", ""bayes optimal""]","{""keywords"": [""quantum learning"", ""pattern matching"", ""machine learning"", ""quantum systems"", ""bayes optimal""]}"
83,"[""fuzzy systems"", ""defuzzification"", ""action aggregation"", ""mamdani-type"", ""fuzzy response""]","{""keywords"": [""fuzzy systems"", ""defuzzification"", ""action aggregation"", ""mamdani-type"", ""fuzzy response""]}"
84,"[""robot hand"", ""shape memory alloy"", ""anthropomorphic grasping"", ""fine manipulations"", ""resistance feedback""]","{""keywords"": [""robot hand"", ""shape memory alloy"", ""anthropomorphic grasping"", ""fine manipulations"", ""resistance feedback""]}"
85,"[""quantum information"", ""decoherence control"", ""stochastic control"", ""quantum algorithms"", ""randomness role""]","{""keywords"": [""quantum information"", ""decoherence control"", ""stochastic control"", ""quantum algorithms"", ""randomness role""]}"
86,"[""caravans"", ""braking"", ""snaking"", ""vibrations"", ""simulations""]","{""keywords"": [""caravans"", ""braking"", ""snaking"", ""vibrations"", ""simulations""]}"
87,"[""operator splitting"", ""parabolic problems"", ""semigroup theory"", ""stability analysis"", ""semilinear equations""]","{""keywords"": [""operator splitting"", ""parabolic problems"", ""semigroup theory"", ""stability analysis"", ""semilinear equations""]}"
88,"[""nonlinear bvps"", ""boundary value methods"", ""quasi-linearization technique"", ""numerical approximation"", ""stiff problems""]","{""keywords"": [""nonlinear BVPs"", ""boundary value methods"", ""quasi-linearization technique"", ""numerical approximation"", ""stiff problems""]}"
89,"[""differential algebraic systems"", ""numerical integration"", ""linear systems"", ""hilbert spaces"", ""ode""]","{""keywords"": [""differential algebraic systems"", ""numerical integration"", ""linear systems"", ""hilbert spaces"", ""ode""]}"
90,"[""partial differential equations"", ""numerical solution"", ""plasma physics"", ""finite difference"", ""convection""]","{""keywords"": [""partial differential equations"", ""numerical solution"", ""plasma physics"", ""finite difference"", ""convection""]}"
91,"[""perturbed linear problems"", ""variable-stepsize method"", ""multistep code"", ""steplength methods"", ""adams methods""]","{""keywords"": [""perturbed linear problems"", ""variable-stepsize method"", ""multistep code"", ""steplength methods"", ""adams methods""]}"
92,"[""ode"", ""interval methods"", ""taylor series"", ""differential equations"", ""validated methods""]","{""keywords"": [""ode"", ""interval methods"", ""taylor series"", ""differential equations"", ""validated methods""]}"
93,"[""differential systems"", ""numerical results"", ""matlab code"", ""newton iterations"", ""stiff systems""]","{""keywords"": [""differential systems"", ""numerical results"", ""matlab code"", ""newton iterations"", ""stiff systems""]}"
94,"[""parallel implicit predictor corrector methods"", ""initial value problems"", ""numerical stability"", ""parallel codes"", ""finite precision arithmetic""]","{""keywords"": [""parallel implicit predictor corrector methods"", ""initial value problems"", ""numerical stability"", ""parallel codes"", ""finite precision arithmetic""]}"
95,"[""convergence analysis"", ""stabilizing corrections"", ""initial-boundary value problems"", ""convection-diffusion-reaction equations"", ""accuracy and stability""]","{""keywords"": [""convergence analysis"", ""stabilizing corrections"", ""initial-boundary value problems"", ""convection-diffusion-reaction equations"", ""accuracy and stability""]}"
96,"[""quantum entanglement"", ""dense coding"", ""bipartite states"", ""quantum operations"", ""classical communications""]","{""keywords"": [""quantum entanglement"", ""dense coding"", ""bipartite states"", ""quantum operations"", ""classical communications""]}"
97,"[""implicit-explicit methods"", ""linear multistep methods"", ""ordinary differential equations"", ""stiffness"", ""contractivity""]","{""keywords"": [""implicit-explicit methods"", ""linear multistep methods"", ""ordinary differential equations"", ""stiffness"", ""contractivity""]}"
98,"[""caravan snaking"", ""pintle pin friction"", ""mathematical model"", ""stability"", ""damping""]","{""keywords"": [""caravan snaking"", ""pintle pin friction"", ""mathematical model"", ""stability"", ""damping""]}"
99,"[""ride quality"", ""ambulance transportation"", ""actively-controlled stretcher"", ""motion sickness"", ""factor analysis""]","{""keywords"": [""ride quality"", ""ambulance transportation"", ""actively-controlled stretcher"", ""motion sickness"", ""factor analysis""]}"
100,"[""combined cycle power"", ""fuzzy logic"", ""thermal stress"", ""start-up phase"", ""supervisory control""]","{""keywords"": [""combined cycle power"", ""fuzzy logic"", ""thermal stress"", ""start-up phase"", ""supervisory control""]}"
101,"[""distributed business"", ""collaborative information space"", ""information systems"", ""business processes"", ""hierarchical composition""]","{""keywords"": [""distributed business"", ""collaborative information space"", ""information systems"", ""business processes"", ""hierarchical composition""]}"
102,"[""pattern recognition"", ""learning vector quantization"", ""fault diagnosis"", ""neural networks"", ""real-time monitoring""]","{""keywords"": [""pattern recognition"", ""learning vector quantization"", ""fault diagnosis"", ""neural networks"", ""real-time monitoring""]}"
103,"[""manufacturing control"", ""job routing"", ""distributed control system"", ""agent-based control"", ""hybrid strategies""]","{""keywords"": [""manufacturing control"", ""job routing"", ""distributed control system"", ""agent-based control"", ""hybrid strategies""]}"
104,"[""sheet metal arc welding"", ""automatic seam tracking"", ""electromagnetic sensor"", ""seam tracking accuracy"", ""butt joints""]","{""keywords"": [""sheet metal arc welding"", ""automatic seam tracking"", ""electromagnetic sensor"", ""seam tracking accuracy"", ""butt joints""]}"
105,"[""welding"", ""instability"", ""stability"", ""arc voltage"", ""metal transfer""]","{""keywords"": [""welding"", ""instability"", ""stability"", ""arc voltage"", ""metal transfer""]}"
106,"[""manufacturability"", ""computer aided design"", ""numerical control milling"", ""design for manufacturability"", ""manufacturing enterprise""]","{""keywords"": [""manufacturability"", ""computer aided design"", ""numerical control milling"", ""design for manufacturability"", ""manufacturing enterprise""]}"
107,"[""social capital"", ""innovation"", ""manufacturing firms"", ""explanatory variable"", ""reciprocal trust""]","{""keywords"": [""social capital"", ""innovation"", ""manufacturing firms"", ""explanatory variable"", ""reciprocal trust""]}"
108,"[""chaotic systems"", ""synchronization scheme"", ""observer-based"", ""piecewise-linear dynamics"", ""stability results""]","{""keywords"": [""chaotic systems"", ""synchronization scheme"", ""observer-based"", ""piecewise-linear dynamics"", ""stability results""]}"
109,"[""feature detection"", ""algorithms"", ""face sets"", ""geometric modelling"", ""comparative analysis""]","{""keywords"": [""feature detection"", ""algorithms"", ""face sets"", ""geometric modelling"", ""comparative analysis""]}"
110,"[""feature recognition"", ""geometric models"", ""convex hull"", ""face detection"", ""algorithm evaluation""]","{""keywords"": [""feature recognition"", ""geometric models"", ""convex hull"", ""face detection"", ""algorithm evaluation""]}"
111,"[""healthcare"", ""hl7"", ""message"", ""encoding"", ""framework""]","{""keywords"": [""healthcare"", ""hl7"", ""message"", ""encoding"", ""framework""]}"
112,"[""autonomic computing"", ""computing reliability"", ""problem-free computing"", ""self-managed systems"", ""ibm initiative""]","{""keywords"": [""autonomic computing"", ""computing reliability"", ""problem-free computing"", ""self-managed systems"", ""ibm initiative""]}"
113,"[""multi-view images"", ""decoder architecture"", ""pipelined processing"", ""image decoding"", ""depth extraction""]","{""keywords"": [""multi-view images"", ""decoder architecture"", ""pipelined processing"", ""image decoding"", ""depth extraction""]}"
114,"[""fuzzy business"", ""signal validation"", ""thermal performance"", ""artificial intelligence"", ""process instrumentation""]","{""keywords"": [""fuzzy business"", ""signal validation"", ""thermal performance"", ""artificial intelligence"", ""process instrumentation""]}"
115,"[""human factors"", ""control room design"", ""computer-based support system"", ""system safety"", ""virtual reality""]","{""keywords"": [""human factors"", ""control room design"", ""computer-based support system"", ""system safety"", ""virtual reality""]}"
116,"[""dimensional metrology"", ""geometric dimensioning and tolerancing"", ""knowledge base"", ""computer visualization"", ""interoperability standards""]","{""keywords"": [""dimensional metrology"", ""geometric dimensioning and tolerancing"", ""knowledge base"", ""computer visualization"", ""interoperability standards""]}"
117,"[""microstructure"", ""cement"", ""tomography"", ""microscopy"", ""hydration""]","{""keywords"": [""microstructure"", ""cement"", ""tomography"", ""microscopy"", ""hydration""]}"
118,"[""database"", ""gamma-acyclic"", ""database scheme"", ""relational scheme"", ""4nf""]","{""keywords"": [""database"", ""gamma-acyclic"", ""database scheme"", ""relational scheme"", ""4nf""]}"
119,"[""chaotic systems"", ""synchronization"", ""rossler system"", ""chen system"", ""lyapunov stability""]","{""keywords"": [""chaotic systems"", ""synchronization"", ""rossler system"", ""chen system"", ""lyapunov stability""]}"
120,"[""smoke simulation"", ""particle systems"", ""density functions"", ""airflow control"", ""rendering scheme""]","{""keywords"": [""smoke simulation"", ""particle systems"", ""density functions"", ""airflow control"", ""rendering scheme""]}"
121,"[""degree set"", ""r.e. sets"", ""upper semilattice"", ""contiguity"", ""r.e. degree""]","{""keywords"": [""degree set"", ""r.e. sets"", ""upper semilattice"", ""contiguity"", ""r.e. degree""]}"
122,"[""parametric surfaces"", ""subdivision surfaces"", ""bicubic b-spline"", ""piecewise-smooth surfaces"", ""singular points""]","{""keywords"": [""parametric surfaces"", ""subdivision surfaces"", ""bicubic b-spline"", ""piecewise-smooth surfaces"", ""singular points""]}"
123,"[""word spotting"", ""confidence measure"", ""hidden markov model"", ""speech recognition"", ""syllable lattice""]","{""keywords"": [""word spotting"", ""confidence measure"", ""hidden markov model"", ""speech recognition"", ""syllable lattice""]}"
124,"[""algebraic modelling"", ""distributed problem-solving"", ""multi-agent systems"", ""social dynamics"", ""task allocations""]","{""keywords"": [""algebraic modelling"", ""distributed problem-solving"", ""multi-agent systems"", ""social dynamics"", ""task allocations""]}"
125,"[""wavelets"", ""multiresolution"", ""image compression"", ""signal compression"", ""four-point subdivision""]","{""keywords"": [""wavelets"", ""multiresolution"", ""image compression"", ""signal compression"", ""four-point subdivision""]}"
126,"[""machine translation"", ""natural language"", ""chinese language"", ""interlingua"", ""syntactic parsing""]","{""keywords"": [""machine translation"", ""natural language"", ""chinese language"", ""interlingua"", ""syntactic parsing""]}"
127,"[""security protocols"", ""attack construction algorithm"", ""dynamic strand space model"", ""causal dependency relations"", ""protocol execution parameters""]","{""keywords"": [""security protocols"", ""attack construction algorithm"", ""dynamic strand space model"", ""causal dependency relations"", ""protocol execution parameters""]}"
128,"[""parallelism"", ""compilers"", ""data-flow"", ""privatization"", ""parallelizing""]","{""keywords"": [""parallelism"", ""compilers"", ""data-flow"", ""privatization"", ""parallelizing""]}"
129,"[""software development"", ""component-based"", ""configuration management"", ""software configuration"", ""system implementation""]","{""keywords"": [""software development"", ""component-based"", ""configuration management"", ""software configuration"", ""system implementation""]}"
130,"[""quantum mechanics"", ""hardy's paradox"", ""counterfactual statements"", ""entanglement"", ""weak values""]","{""keywords"": [""quantum mechanics"", ""hardy's paradox"", ""counterfactual statements"", ""entanglement"", ""weak values""]}"
131,"[""diffserv"", ""qos"", ""traffic conditioning"", ""packet forwarding"", ""tcp""]","{""keywords"": [""diffserv"", ""qos"", ""traffic conditioning"", ""packet forwarding"", ""tcp""]}"
